indicator,location,value
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Kwara,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Lagos,15.3
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Nasarawa,5.6
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Niger,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Ogun,5.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Ondo,2.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Plateau,8.8
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Rivers,7.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Sokoto,21.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Taraba,1.4
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Yobe,22.7
Proportion of Primary Health Facilities with MgS04 (with valid expiry date),Zamfara,7.1
Proportion of Primary Health Facilities with functional basic delivery equipment,Abia,29.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Adamawa,36.1
Proportion of Primary Health Facilities with functional basic delivery equipment,Akwa Ibom,10.5
Proportion of Primary Health Facilities with functional basic delivery equipment,Anambra,60.4
Proportion of Primary Health Facilities with functional basic delivery equipment,Bauchi,31.8
Proportion of Primary Health Facilities with functional basic delivery equipment,Bayelsa,11.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Benue,11
Proportion of Primary Health Facilities with functional basic delivery equipment,Borno,21.9
Proportion of Primary Health Facilities with functional basic delivery equipment,Cross River,19
Proportion of Primary Health Facilities with functional basic delivery equipment,Delta,38.5
Proportion of Primary Health Facilities with functional basic delivery equipment,Ebonyi,31.5
Proportion of Primary Health Facilities with functional basic delivery equipment,Edo,46.2
Proportion of Primary Health Facilities with functional basic delivery equipment,Ekiti,8.4
Proportion of Primary Health Facilities with functional basic delivery equipment,Enugu,30.3
Proportion of Primary Health Facilities with functional basic delivery equipment,FCT,16.5
Proportion of Primary Health Facilities with functional basic delivery equipment,Gombe,23.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Imo,53.7
Proportion of Primary Health Facilities with functional basic delivery equipment,Jigawa,11.7
Proportion of Primary Health Facilities with functional basic delivery equipment,Kaduna,22.4
Proportion of Primary Health Facilities with functional basic delivery equipment,Kano,7.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Katsina,7
Proportion of Primary Health Facilities with functional basic delivery equipment,Kebbi,15.9
Proportion of Primary Health Facilities with functional basic delivery equipment,Kogi,5.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Kwara,10.1
Proportion of Primary Health Facilities with functional basic delivery equipment,Lagos,18
Proportion of Primary Health Facilities with functional basic delivery equipment,Nasarawa,35.9
Proportion of Primary Health Facilities with functional basic delivery equipment,Niger,6.8
Proportion of Primary Health Facilities with functional basic delivery equipment,Ogun,35.6
Proportion of Primary Health Facilities with functional basic delivery equipment,Ondo,35.6
Proportion of Primary Health Facilities with functional basic delivery equipment,Osun,2.8
Proportion of Primary Health Facilities with functional basic delivery equipment,Oyo,8.5
Proportion of Primary Health Facilities with functional basic delivery equipment,Plateau,15.7
Proportion of Primary Health Facilities with functional basic delivery equipment,Rivers,30.8
Proportion of Primary Health Facilities with functional basic delivery equipment,Sokoto,15.9
Proportion of Primary Health Facilities with functional basic delivery equipment,Taraba,8.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Yobe,21.3
Proportion of Primary Health Facilities with functional basic delivery equipment,Zamfara,10
Proportion of Primary Health Facilities with functional basic delivery equipment,Nigeria,22.1
Proportion of Primary Health Facilities with functional basic delivery equipment,North-Central,14.5
Proportion of Primary Health Facilities with functional basic delivery equipment,North-East,23.9
Proportion of Primary Health Facilities with functional basic delivery equipment,North-West,12.1
Proportion of Primary Health Facilities with functional basic delivery equipment,South-East,41
Proportion of Primary Health Facilities with functional basic delivery equipment,South-South,28.7
Proportion of Primary Health Facilities with functional basic delivery equipment,South-West,18.4
Percentage of Facilities with availability of BCG vaccine,North-Central,22.5
Percentage of Facilities with availability of BCG vaccine,North-East,40
Percentage of Facilities with availability of BCG vaccine,North-West,45.1
Percentage of Facilities with availability of BCG vaccine,South-East,30.9
Percentage of Facilities with availability of BCG vaccine,South-South,33.6
Percentage of Facilities with availability of BCG vaccine,South-West,34.1
Percentage of Facilities with availability of BCG vaccine,Nigeria,33.9
Percentage of Facilities with availability of polio vaccine,North-Central,23.9
Percentage of Facilities with availability of polio vaccine,North-East,42.7
Percentage of Facilities with availability of polio vaccine,North-West,46.9
Percentage of Facilities with availability of polio vaccine,South-East,33.1
Percentage of Facilities with availability of polio vaccine,South-South,34.1
Percentage of Facilities with availability of polio vaccine,South-West,35.2
Percentage of Facilities with availability of polio vaccine,Nigeria,35.5
Percentage of Facilities with availability of pentavalent 3 vaccine,Nigeria,36.3
Percentage of Facilities with availability of pentavalent 3 vaccine,North-Central,25.3
Percentage of Facilities with availability of pentavalent 3 vaccine,North-East,42.7
Percentage of Facilities with availability of pentavalent 3 vaccine,North-West,48.3
Percentage of Facilities with availability of pentavalent 3 vaccine,South-East,34.7
Percentage of Facilities with availability of pentavalent 3 vaccine,South-South,34.7
Percentage of Facilities with availability of pentavalent 3 vaccine,South-West,34.8
Percentage of Facilities with availability of measles vaccine,Nigeria,35.9
Percentage of Facilities with availability of measles vaccine,North-Central,24.2
Percentage of Facilities with availability of measles vaccine,North-East,41.6
Percentage of Facilities with availability of measles vaccine,North-West,46.8
Percentage of Facilities with availability of measles vaccine,South-East,34.2
Percentage of Facilities with availability of measles vaccine,South-South,35
Percentage of Facilities with availability of measles vaccine,South-West,35.7
